roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,recent_math_score,recent_writing_score,recent_science_score,gpa_letter,gpa
std-4494,male,group C,some college,1,0,50,,45,C,55.25
std-4495,male,group D,some high school,1,0,51,61,85,B,65.5
std-4496,male,group D,high school,1,0,,53,84,C,58
std-4497,male,group B,some college,1,,70,61,61,B,71
std-4498,male,group C,some high school,,0,37,56,91,B,64.5
std-4499,male,group B,,1,1,52,54,67,C,58.25
std-4500,male,,some high school,0,0,0,58,56,C,50.5
std-4501,male,group E,high school,0,0,15,70,59,C,53.75
std-4502,,group B,some college,0,0,76,79,69,B,75
std-4503,male,,bachelor's degree,0,0,24,27,47,D,48.25
std-4504,male,group B,some college,0,1,76,100,57,A,83.25
std-4505,male,group C,bachelor's degree,1,0,45,61,96,B,75.5
std-4506,male,group A,high school,0,0,53,60,47,C,51
std-4507,male,group B,some high school,0,1,40,32,12,D,44.75
std-4508,male,group C,high school,1,1,77,36,54,C,59.5
std-4509,male,group D,high school,1,0,38,100,84,A,80.5
std-4510,male,group A,associate's degree,1,0,98,88,92,A,94.25
std-4511,male,group D,associate's degree,0,0,48,33,63,C,55
std-4512,Boy,group B,some college,1,0,21,67,59,C,61.75
std-4513,male,group E,master's degree,0,0,51,54,14,D,46.75
std-4514,male,group E,high school,1,0,70,58,61,B,66
std-4515,male,group E,bachelor's degree,0,1,60,49,72,C,54.25
std-4516,male,group C,some college,0,0,30,81,61,C,58.25
std-4517,male,group E,bachelor's degree,0,0,21,46,55,D,45.25
std-4518,male,group B,high school,1,0,51,29,36,D,43.75
std-4519,male,group A,some college,1,1,45,77,58,B,65.5
std-4520,male,group D,associate's degree,1,0,56,94,53,B,73.5
std-4521,male,group B,high school,0,0,38,85,47,C,62.25
std-4522,male,group E,high school,1,1,46,100,65,B,77.5
std-4523,male,group C,some college,0,0,25,79,100,B,76
std-4524,male,group C,associate's degree,0,1,81,51,46,C,57.75
std-4525,male,group D,some high school,0,0,61,96,100,A,87
std-4526,male,group C,high school,1,1,70,82,51,B,75.75
std-4527,male,group E,associate's degree,1,1,0,100,36,D,44.75
std-4528,male,group A,bachelor's degree,1,1,76,46,99,B,78.5
std-4529,male,group D,some high school,1,0,50,73,38,B,62.75
std-4530,male,group D,some college,0,0,59,96,89,A,81.5
std-4531,male,group A,some high school,1,0,75,57,75,B,72.5
std-4532,male,group E,some college,1,0,17,25,39,D,37.75
std-4533,male,group E,some college,1,1,74,35,98,B,76.75
std-4534,male,group C,bachelor's degree,1,1,58,69,72,C,60
std-4535,male,group D,associate's degree,1,0,87,33,74,B,73.5
std-4536,male,group C,master's degree,0,0,86,91,83,A,82.75
std-4537,male,group C,high school,1,0,59,74,52,B,69
std-4538,male,group B,some high school,1,1,48,69,55,B,66.25
std-4539,male,group A,bachelor's degree,1,0,37,55,9,D,44.5
std-4540,male,group E,some high school,1,0,39,43,75,C,62.25
std-4541,male,group C,some high school,1,0,54,88,85,C,61
std-4542,male,group B,associate's degree,0,0,40,46,69,C,60.5
std-4543,male,group E,associate's degree,0,1,75,91,75,A,82.75
std-4544,male,group B,high school,0,0,29,76,66,C,56
std-4545,male,group B,some college,0,0,77,63,76,B,62.5
std-4546,male,group A,some high school,1,1,22,97,29,C,54.25
std-4547,male,group D,associate's degree,1,0,14,87,70,C,52.5
std-4548,male,group D,associate's degree,1,0,81,72,61,B,71
std-4549,male,group E,bachelor's degree,0,0,21,46,58,C,50.5
std-4550,male,group C,some college,1,1,32,52,37,D,45.75
std-4551,male,group B,bachelor's degree,0,0,37,56,68,C,56.75
std-4552,male,group D,associate's degree,0,1,33,66,31,C,56.5
std-4553,male,group D,some high school,0,1,51,64,36,C,54
std-4554,male,group D,high school,1,1,63,98,33,B,68.25
std-4555,male,group E,bachelor's degree,0,1,85,59,38,C,58
std-4556,male,group C,some college,1,1,92,91,69,B,78.5
std-4557,male,group D,some college,0,1,93,77,90,A,84.75
std-4558,male,group B,bachelor's degree,1,1,47,69,100,B,73.25
std-4559,male,group C,master's degree,0,1,37,83,87,C,61
std-4560,male,group C,high school,1,0,66,68,41,C,61
std-4561,male,group C,master's degree,1,0,96,45,76,B,72.5
std-4562,male,group B,some college,0,1,72,60,68,C,60.75
std-4563,male,group C,some college,1,0,84,70,74,A,82
std-4564,male,group C,some high school,1,0,48,55,86,B,66.5
std-4565,male,group B,some college,1,1,70,49,97,B,74.5
std-4566,male,group B,some high school,0,1,18,70,84,B,62.75
std-4567,male,group C,high school,0,0,71,51,87,B,68.5
std-4568,male,group C,master's degree,1,0,62,67,63,C,62
std-4569,male,group E,master's degree,1,0,29,94,68,B,67.5
std-4570,male,group B,associate's degree,1,0,71,46,90,B,62.5
std-4571,male,group B,some college,0,0,44,49,40,D,46
std-4572,male,group B,master's degree,0,1,16,10,86,D,49.75
std-4573,male,group C,associate's degree,0,0,27,77,51,C,56.75
std-4574,male,group C,master's degree,0,0,69,93,87,A,82.75
std-4575,male,group A,high school,1,0,86,97,59,B,78.5
std-4576,male,group D,associate's degree,1,0,25,61,24,D,45.75
std-4577,male,group A,some college,1,0,58,65,84,B,68.5
std-4578,male,group D,bachelor's degree,1,0,0,73,33,C,51.5
std-4579,male,group A,associate's degree,1,0,23,51,97,B,65.25
std-4580,male,group A,associate's degree,0,0,47,76,76,B,73
std-4581,male,group A,bachelor's degree,0,0,34,62,55,C,51.25
std-4582,male,group B,master's degree,1,1,58,32,75,C,61.25
std-4583,male,group C,associate's degree,0,1,100,73,43,B,62.75
std-4584,male,group D,some college,1,1,65,61,95,B,69.75
std-4585,male,group B,associate's degree,1,1,94,69,63,B,65.5
std-4586,male,group B,some high school,1,0,42,48,64,C,51
std-4587,male,group C,some college,1,0,58,81,98,B,75.75
std-4588,male,group E,some high school,0,0,66,62,69,C,62.25
std-4589,male,group B,associate's degree,0,0,80,41,50,C,54
std-4590,male,group C,some high school,0,0,19,51,39,D,43.75
std-4591,male,group D,high school,0,0,61,70,85,B,63.25
std-4592,male,group A,bachelor's degree,0,0,41,37,39,D,49.75
std-4593,male,group D,some high school,1,1,78,81,23,C,60.5
std-4594,male,group D,associate's degree,1,0,29,61,75,D,48.5
std-4595,male,group D,some college,1,1,63,77,80,B,75.5
std-4596,male,group D,some college,1,0,88,98,42,A,80.5
std-4597,male,group C,bachelor's degree,0,1,21,73,49,D,48.75
std-4598,male,group D,some high school,0,0,51,63,41,C,55.5
std-4599,male,group D,associate's degree,1,1,38,94,40,C,59.75
std-4600,male,group E,bachelor's degree,1,1,100,92,98,A,87.25
std-4601,male,group C,bachelor's degree,1,1,25,49,54,C,52.25
std-4602,male,group C,bachelor's degree,0,1,83,87,62,B,77
std-4603,male,group C,associate's degree,1,0,63,64,90,B,75.5
std-4604,male,group D,bachelor's degree,1,0,34,77,55,C,56
std-4605,male,group A,high school,1,0,23,64,100,B,66
std-4606,male,group E,high school,0,0,69,72,55,B,68.25
std-4607,male,group C,high school,1,0,39,54,71,C,62.25
std-4608,male,group D,some college,1,0,80,100,48,B,75.5
std-4609,male,group C,some high school,1,0,68,67,82,B,75.5
std-4610,male,group C,bachelor's degree,0,0,73,84,71,B,73.25
std-4611,male,group C,bachelor's degree,1,0,24,87,46,C,61
std-4612,male,group C,some college,1,0,31,24,75,C,57.5
std-4613,male,group E,master's degree,1,0,96,88,9,B,63.5
std-4614,male,group E,master's degree,1,1,100,68,28,B,66.75
std-4615,male,group D,associate's degree,0,0,72,85,76,A,83.25
std-4616,male,group C,high school,1,0,30,56,30,Fail,33.25
std-4617,male,group E,some high school,0,0,34,62,66,C,57
std-4618,male,group A,high school,0,0,17,51,99,C,59
std-4619,male,group D,master's degree,1,1,17,86,76,C,62
std-4620,male,group B,some college,0,0,15,96,75,B,71.5
std-4621,male,group B,associate's degree,1,1,26,75,59,C,59
std-4622,male,group E,bachelor's degree,1,1,16,90,57,C,55.75
std-4623,male,group D,some college,0,0,13,24,52,D,44.75
std-4624,male,group B,associate's degree,0,1,52,76,81,B,73
std-4625,male,group C,associate's degree,1,1,72,100,74,A,85
std-4626,male,group C,some college,1,0,11,64,57,C,50
std-4627,male,group E,associate's degree,0,0,22,54,47,D,40.75
std-4628,male,group D,some high school,1,0,82,45,74,C,62
std-4629,male,group B,some high school,0,0,43,62,77,B,65.25
std-4630,male,group E,some high school,1,0,55,94,80,B,71.25
std-4631,male,group C,master's degree,0,0,59,30,35,C,52
std-4632,male,group E,some high school,1,0,76,80,57,B,74.5
std-4633,male,group B,high school,1,1,45,39,81,D,45.5
std-4634,male,group D,some college,0,1,25,85,35,C,51
std-4635,male,group D,bachelor's degree,0,0,40,32,71,D,49.25
std-4636,male,group B,high school,0,0,32,72,46,C,57
std-4637,male,group C,master's degree,1,0,48,66,41,D,48
std-4638,male,group A,master's degree,1,1,79,72,100,B,76
std-4639,male,group B,some college,1,1,41,76,85,B,73.25
std-4640,male,group B,some college,0,0,55,67,78,B,72.5
std-4641,male,group A,master's degree,1,1,55,71,45,C,58
std-4642,male,group D,bachelor's degree,1,0,31,81,42,C,52.5
std-4643,male,group D,some college,1,0,24,83,50,C,50
std-4644,male,group C,some college,1,0,19,68,86,C,57.75
std-4645,male,group C,bachelor's degree,1,0,93,64,19,C,58
std-4646,male,group D,associate's degree,0,0,53,89,56,B,71.25
std-4647,male,group E,some college,1,0,25,51,82,B,64.5
std-4648,male,group B,some college,1,0,62,59,82,B,65
std-4649,male,group E,some high school,1,0,38,51,60,C,56.5
std-4650,male,group B,high school,0,1,58,56,44,C,56.75
std-4651,male,group B,associate's degree,1,0,24,68,34,C,53.75
std-4652,male,group B,high school,1,0,24,75,55,C,51.25
std-4653,male,group C,associate's degree,1,0,39,64,88,B,69.75
std-4654,male,group C,some high school,1,1,42,88,49,C,53.75
std-4655,male,group C,associate's degree,0,1,49,58,72,B,64.25
std-4656,male,group E,master's degree,0,0,33,96,72,B,75
std-4657,male,group E,master's degree,1,1,45,43,33,D,43.25
std-4658,male,group A,associate's degree,0,0,38,61,54,C,50.25
std-4659,male,group B,bachelor's degree,0,0,91,84,60,A,83.75
std-4660,male,group D,high school,1,0,68,47,84,B,63.25
std-4661,male,group B,some high school,0,0,32,10,45,Fail,36.25
std-4662,male,group A,master's degree,0,0,72,84,15,B,66.75
std-4663,male,group B,associate's degree,1,0,75,100,92,A,91.75
std-4664,male,group A,high school,0,0,46,90,55,C,60
std-4665,male,group E,some college,0,0,45,100,40,C,61.75
std-4666,male,group D,associate's degree,1,0,37,98,38,C,58.25
std-4667,male,group C,associate's degree,0,0,37,73,82,B,72
std-4668,male,group B,associate's degree,1,0,76,40,60,C,59
std-4669,male,group D,some high school,0,1,68,78,87,B,73
std-4670,male,group C,some college,0,0,56,63,79,B,70.75
std-4671,male,group C,some high school,1,0,47,54,83,C,53.5
std-4672,male,group E,some high school,1,0,100,52,43,C,61.5
std-4673,male,group C,bachelor's degree,1,1,37,52,55,D,42.75
std-4674,male,group B,some high school,0,0,32,78,45,C,54.25
std-4675,male,group E,high school,1,0,0,72,51,C,50.25
std-4676,male,group C,some high school,1,0,37,83,35,B,63.75
std-4677,male,group E,high school,1,1,48,74,82,B,71.75
std-4678,male,group A,some high school,0,1,54,58,57,B,64
std-4679,male,group B,high school,1,1,67,62,83,B,78
std-4680,male,group E,some high school,1,1,79,45,39,B,65.75
std-4681,male,group C,bachelor's degree,0,0,76,66,64,B,68.75
std-4682,male,group C,master's degree,0,0,62,33,67,C,60.25
std-4683,male,group A,bachelor's degree,0,1,17,85,86,B,70.75
std-4684,male,group E,some high school,1,0,48,45,30,D,44.75
std-4685,male,group A,associate's degree,1,1,30,79,57,C,58.5
std-4686,male,group D,some college,1,0,24,76,15,D,41.75
std-4687,male,group B,associate's degree,1,1,61,84,45,B,70
std-4688,male,group C,some college,1,0,46,50,100,B,71.75
std-4689,male,group D,bachelor's degree,1,0,64,100,95,A,80.75
std-4690,male,group C,high school,1,1,65,49,91,B,71.25
std-4691,male,group C,some high school,0,1,13,62,43,D,37.75
std-4692,male,group B,some college,1,0,56,89,100,B,78.25
std-4693,male,group E,associate's degree,1,0,60,57,41,B,64.5
std-4694,male,group D,master's degree,1,0,0,54,51,D,41.25
std-4695,male,group C,some college,1,1,29,54,45,D,44
std-4696,male,group D,high school,1,0,38,91,57,B,71.5
std-4697,male,group C,some college,1,0,20,40,62,D,40
std-4698,male,group E,some high school,0,0,62,30,65,D,48
std-4699,male,group C,high school,0,0,56,98,58,C,60.5
std-4700,male,group B,associate's degree,1,1,86,37,60,B,67.75
std-4701,male,group B,bachelor's degree,1,0,28,88,72,C,61.5
std-4702,male,group D,high school,1,0,56,74,76,B,68.75
std-4703,male,group C,bachelor's degree,1,0,24,81,80,B,65
std-4704,male,group C,master's degree,1,0,76,44,63,C,54.25
std-4705,male,group C,bachelor's degree,1,1,89,42,28,C,56.75
std-4706,male,group E,some college,0,1,75,49,56,C,60.75
std-4707,male,group C,master's degree,1,0,30,62,70,C,54.5
std-4708,male,group B,bachelor's degree,1,0,54,53,49,D,47
std-4709,male,group D,some high school,1,0,66,69,74,B,68
std-4710,male,group A,some high school,1,1,37,59,59,C,57.75
std-4711,male,group A,associate's degree,1,0,30,11,46,D,45
std-4712,male,group D,some high school,1,0,80,49,100,A,81.25
std-4713,male,group C,associate's degree,1,0,31,61,93,C,58.25
std-4714,male,group C,high school,0,0,70,55,83,B,74.5
std-4715,male,group E,some college,1,0,46,61,33,C,57.75
std-4716,male,group B,associate's degree,1,0,86,75,56,B,79.25
std-4717,male,group C,some college,0,1,49,79,49,C,56.5
std-4718,male,group D,high school,1,1,61,57,41,C,58.25
std-4719,male,group D,some high school,0,0,100,75,66,A,85.25
std-4720,male,group C,associate's degree,0,0,61,58,100,B,78.5
std-4721,male,group B,some college,1,1,13,89,75,C,55.75
std-4722,male,group C,some high school,1,0,51,64,45,C,61
std-4723,male,group D,some high school,1,0,99,85,78,B,78
std-4724,male,group D,high school,0,0,51,40,49,C,55.75
std-4725,male,group D,some college,1,0,37,65,99,B,71.25
std-4726,male,group D,associate's degree,0,0,30,85,27,C,54
std-4727,male,group D,master's degree,0,0,30,98,72,B,66
std-4728,male,group E,associate's degree,1,1,63,56,59,B,67.5
std-4729,male,group C,associate's degree,0,0,28,66,82,B,66.5
std-4730,male,group D,some high school,1,0,70,79,68,B,76
std-4731,male,group D,some college,1,1,45,91,56,C,54.25
std-4732,male,group B,associate's degree,1,1,43,63,67,C,52.5
std-4733,male,group C,some college,1,0,80,29,52,C,61.25
std-4734,male,group C,some high school,1,0,29,33,48,Fail,31.75
std-4735,male,group E,high school,1,0,50,88,69,B,64.5
std-4736,male,group D,some college,0,1,50,57,45,C,54.75
std-4737,male,group C,some college,0,0,83,65,71,B,65
std-4738,male,group C,associate's degree,1,0,37,43,89,C,57.5
std-4739,male,group A,associate's degree,1,1,52,97,79,B,70.25
std-4740,male,group B,some college,1,1,36,54,32,D,49
std-4741,male,group B,some college,1,0,50,33,69,C,52.75
std-4742,male,group B,associate's degree,0,1,69,59,71,B,63.5
std-4743,male,group C,master's degree,1,0,29,55,31,D,45.5
std-4744,male,group A,bachelor's degree,0,1,57,94,100,B,79.5
std-4745,male,group C,some high school,1,0,68,82,53,B,69.5
std-4746,male,group C,master's degree,0,1,35,51,68,C,59
std-4747,male,group E,some high school,1,0,84,64,100,A,86.25
std-4748,male,group C,some high school,0,0,52,100,69,B,64.5
std-4749,male,group C,high school,1,0,14,72,40,C,52.75
std-4750,male,group C,high school,0,1,94,61,56,B,70.25
std-4751,male,group B,some high school,0,1,32,68,44,C,51.75
std-4752,male,group C,high school,0,1,53,64,60,B,66.75
std-4753,male,group A,high school,1,1,47,57,89,B,73.25
std-4754,male,group C,associate's degree,1,0,62,76,69,B,74.5
std-4755,male,group B,bachelor's degree,1,0,43,83,40,C,51.75
std-4756,male,group D,some college,0,0,29,62,36,D,45.75
std-4757,male,group D,high school,1,0,60,67,14,D,49
std-4758,male,group E,high school,1,0,34,35,62,C,53
std-4759,male,group D,some high school,0,1,41,32,67,D,44.25
std-4760,male,group C,high school,1,1,70,40,59,C,54
std-4761,male,group B,bachelor's degree,0,0,57,67,92,C,58.25
std-4762,male,group E,some college,1,1,49,84,29,B,63
std-4763,male,group E,some college,0,0,45,66,89,B,73.75
std-4764,male,group D,bachelor's degree,1,1,47,87,82,B,66.75
std-4765,male,group B,associate's degree,0,0,15,51,61,D,48.5
std-4766,male,group E,high school,1,1,59,59,73,C,62
std-4767,male,group D,some college,1,0,87,70,52,B,75.75
std-4768,male,group B,bachelor's degree,0,0,58,74,92,B,75.25
std-4769,male,group D,associate's degree,0,0,54,75,55,B,68.75
std-4770,male,group D,associate's degree,1,0,22,54,65,D,45.25
std-4771,male,group D,high school,0,1,48,100,58,B,69.5
std-4772,male,group D,associate's degree,0,0,64,83,100,A,86.5
std-4773,male,group D,some college,0,1,38,61,83,B,62.75
std-4774,male,group A,high school,1,0,24,55,55,D,48
std-4775,male,group D,bachelor's degree,1,0,31,39,68,C,51.25
std-4776,male,group D,some high school,1,1,49,39,40,C,52.75
std-4777,male,group B,associate's degree,1,1,61,99,29,B,71.75
std-4778,male,group B,associate's degree,1,0,87,45,95,B,78.75
std-4779,male,group C,associate's degree,1,1,61,77,92,A,82.5
std-4780,male,group B,bachelor's degree,0,1,45,46,44,C,55.75
std-4781,male,group D,bachelor's degree,1,0,67,78,76,B,65.75
std-4782,male,group C,bachelor's degree,1,0,37,100,59,B,69.75
std-4783,male,group D,some college,1,0,50,90,32,C,59
std-4784,male,group C,associate's degree,0,0,48,72,60,C,50.5
std-4785,male,group C,master's degree,0,1,42,72,56,C,56.25
std-4786,male,group C,some college,1,1,50,65,34,C,58
std-4787,male,group E,high school,0,1,27,73,87,C,59
std-4788,male,group B,associate's degree,0,0,43,99,41,C,61
std-4789,male,group C,associate's degree,1,0,26,47,59,C,55.25
std-4790,male,group A,high school,0,0,18,68,45,C,52.75
std-4791,male,group B,high school,0,0,74,61,89,B,69
std-4792,male,group C,bachelor's degree,1,0,48,100,51,B,67.5
std-4793,male,group C,associate's degree,0,1,37,70,54,B,62.5
std-4794,male,group D,some college,1,0,26,56,38,C,53.25
std-4795,male,group B,master's degree,0,1,83,68,64,B,66.75
std-4796,male,group D,bachelor's degree,1,0,13,54,53,C,53.5
std-4797,male,group C,associate's degree,1,0,60,54,83,B,69.75
std-4798,male,group C,associate's degree,0,0,43,83,89,B,74.75
std-4799,male,group D,some high school,1,0,22,93,59,C,61.5
std-4800,male,group D,associate's degree,0,0,38,93,86,B,74.75
std-4801,male,group C,some high school,1,0,51,70,74,B,73.75
std-4802,male,group E,associate's degree,1,0,20,38,65,C,55.75
std-4803,male,group C,associate's degree,0,1,15,86,27,D,49.75
std-4804,male,group C,bachelor's degree,1,1,69,64,40,B,67.5
std-4805,male,group C,associate's degree,0,0,75,53,100,B,69.5
std-4806,male,group D,some high school,1,1,98,63,75,B,76.75
std-4807,male,group C,master's degree,1,1,77,80,84,A,85.25
std-4808,male,group B,some high school,1,0,64,100,71,A,83.75
std-4809,male,group B,bachelor's degree,0,0,68,58,79,B,73.5
std-4810,male,group D,associate's degree,1,0,17,55,58,D,41.25
std-4811,male,group C,some college,0,0,20,50,79,C,52.5
std-4812,male,group C,bachelor's degree,1,0,60,78,78,B,72.75
std-4813,male,group E,master's degree,0,0,19,58,47,D,42.25
std-4814,male,group C,some high school,0,0,32,43,50,D,49.75
std-4815,male,group C,some college,1,0,38,68,9,D,44.25
std-4816,male,group D,bachelor's degree,1,1,53,44,76,B,65.5
std-4817,male,group E,high school,1,0,10,38,26,Fail,34.25
std-4818,male,group B,some college,1,0,21,64,52,C,51
std-4819,male,group D,high school,1,0,34,72,55,C,59.5
std-4820,male,group C,some high school,1,1,85,63,76,B,71.75
std-4821,male,group C,some college,1,0,38,77,64,C,60.25
std-4822,male,group B,some college,1,1,35,58,80,B,62.5
std-4823,male,group D,some high school,0,1,62,13,44,C,52.5
std-4824,male,group C,some college,1,1,45,82,43,C,60.5
std-4825,male,group E,associate's degree,1,1,54,43,63,C,62.25
std-4826,male,group D,associate's degree,1,1,57,56,78,B,67
std-4827,male,group E,associate's degree,1,0,76,62,75,B,71.75
std-4828,male,group E,high school,0,0,45,83,57,C,60.5
std-4829,male,group B,high school,0,0,82,77,74,B,72.25
std-4830,male,group A,high school,0,0,74,41,51,D,47.25
std-4831,male,group C,associate's degree,0,0,19,60,40,C,53
std-4832,male,group C,high school,1,0,24,65,100,B,66.5
std-4833,male,group D,high school,0,0,71,100,81,B,79.75
std-4834,male,group C,some high school,1,1,94,56,88,A,84.5
std-4835,male,group C,associate's degree,0,1,63,71,60,B,72.25
std-4836,male,group E,some high school,1,0,26,69,73,C,58
std-4837,male,group B,some college,1,0,0,100,49,C,58.25
std-4838,male,group B,associate's degree,0,0,11,54,76,D,49.75
std-4839,male,group B,some college,0,0,47,65,78,C,57.75
std-4840,male,group C,some college,0,0,49,79,46,B,63.5
std-4841,male,group E,high school,1,0,57,45,99,B,66
std-4842,male,group D,associate's degree,0,0,25,68,47,C,54
std-4843,male,group D,some high school,1,0,89,52,58,B,64.5
std-4844,male,group D,high school,0,0,53,42,67,C,51
std-4845,male,group E,associate's degree,0,1,48,73,86,B,73.5
std-4846,male,group E,some high school,1,0,25,61,83,C,54
std-4847,male,group D,some college,1,0,84,75,57,B,69
std-4848,male,group A,some college,1,0,52,27,63,D,49.25
std-4849,male,group D,associate's degree,1,1,30,85,35,C,54.5
std-4850,male,group B,bachelor's degree,1,0,32,47,38,D,47.25
std-4851,male,group D,high school,1,1,79,85,54,B,72.5
std-4852,male,group B,master's degree,0,1,85,83,66,A,82.75
std-4853,male,group B,bachelor's degree,1,0,58,51,62,B,66
std-4854,male,group C,some high school,0,0,88,70,79,B,77.75
std-4855,male,group C,some college,0,0,35,42,62,D,48.5
std-4856,male,group C,some college,0,0,48,67,73,B,72
std-4857,male,group B,some college,1,1,23,81,89,B,73.25
std-4858,male,group C,master's degree,1,1,23,51,42,D,38.75
std-4859,male,group C,high school,0,1,15,69,27,D,46
std-4860,male,group E,some high school,1,1,58,62,45,C,50.75
std-4861,male,group C,some high school,1,0,33,100,54,B,65.5
std-4862,male,group E,associate's degree,1,1,76,76,58,B,63.5
std-4863,male,group C,high school,0,0,66,80,75,A,80
std-4864,male,group E,some high school,1,0,94,91,62,A,83
std-4865,male,group C,some college,1,0,46,49,100,B,71.5
std-4866,male,group C,some college,0,0,69,70,96,B,78.75
std-4867,male,group C,associate's degree,0,0,15,54,100,C,62
std-4868,male,group C,some high school,1,1,30,79,24,C,56.75
std-4869,male,group C,some high school,1,1,76,73,50,B,74.75
std-4870,male,group C,some college,1,0,57,73,58,B,71
std-4871,male,group E,some high school,1,1,99,72,90,A,84.5
std-4872,male,group C,associate's degree,1,1,61,81,47,C,51.5
std-4873,male,group C,some college,0,0,83,80,92,B,68.75
std-4874,male,group B,high school,1,0,60,46,39,D,48.5
std-4875,male,group D,some college,1,1,44,58,42,C,52.25
std-4876,male,group C,some high school,1,0,69,35,61,C,60.75
std-4877,male,group C,master's degree,1,1,48,98,52,B,65.75
std-4878,male,group E,master's degree,0,1,47,73,85,B,66.25
std-4879,male,group B,some college,0,1,45,53,48,C,58.75
std-4880,male,group C,bachelor's degree,1,0,74,78,61,B,74
std-4881,male,group D,some college,1,1,94,98,63,A,80.25
std-4882,male,group C,bachelor's degree,0,0,56,83,44,B,70.75
std-4883,male,group D,master's degree,0,0,33,87,51,C,57
std-4884,male,group B,some high school,0,0,49,57,94,B,65
std-4885,male,group C,high school,0,0,12,96,65,B,63.25
std-4886,male,group C,high school,1,1,34,82,51,B,63.75
std-4887,male,group D,high school,1,0,74,81,65,B,69
std-4888,male,group C,bachelor's degree,1,0,31,63,56,C,53.75
std-4889,male,group C,high school,1,0,50,63,66,B,63.5
std-4890,male,group C,associate's degree,1,0,43,29,74,C,53.75
std-4891,male,group C,some high school,0,0,96,53,81,B,73.5
std-4892,male,group D,high school,0,0,26,91,44,C,58.75
std-4893,male,group B,some college,1,1,61,70,57,C,62.25
std-4894,male,group B,some high school,1,0,16,72,89,B,69.25
std-4895,male,group B,associate's degree,0,0,66,78,99,A,80.5
std-4896,male,group D,associate's degree,0,0,15,52,81,D,49.25
std-4897,male,group A,some high school,0,1,90,63,42,B,63.75
std-4898,male,group D,some college,1,1,29,97,87,B,77.25
std-4899,male,group D,some high school,1,1,41,60,13,C,52
std-4900,male,group B,master's degree,0,1,57,95,83,A,83.75
std-4901,male,group C,some high school,1,1,30,77,57,C,62
std-4902,male,group C,associate's degree,1,0,86,66,58,B,72.5
std-4903,male,group E,some college,1,1,62,100,67,B,76
std-4904,male,group E,some college,0,0,49,51,77,C,56.75
std-4905,male,group B,some college,0,1,52,74,53,B,65.75
std-4906,male,group D,master's degree,0,0,56,67,82,B,63.5
std-4907,male,group D,some college,1,1,55,100,36,B,67.75
std-4908,male,group D,associate's degree,1,0,56,88,54,B,64
std-4909,male,group B,some college,0,1,98,38,57,C,59
std-4910,male,group B,some high school,0,0,57,69,44,C,56.5
std-4911,male,group D,master's degree,1,0,24,62,70,C,59
std-4912,male,group D,master's degree,1,0,40,63,30,D,46.25
std-4913,male,group B,some college,0,1,79,63,84,A,80
std-4914,male,group B,some high school,1,0,37,73,61,B,64
std-4915,male,group C,bachelor's degree,0,0,53,32,78,C,58
std-4916,male,group C,associate's degree,1,0,100,70,91,A,86
std-4917,male,D,some college,1,1,73,46,67,B,68.5
std-4918,male,group B,some college,1,0,36,10,53,D,47.5
std-4919,male,group C,some college,1,0,51,98,45,B,65.5
std-4920,male,group D,bachelor's degree,0,0,37,61,55,C,52.75
std-4921,male,group B,some college,0,1,93,94,97,A,91.5
std-4922,male,group C,some high school,1,0,40,53,100,C,59.75
std-4923,male,group D,associate's degree,1,0,19,94,47,C,50.75
std-4924,male,group C,associate's degree,0,1,29,67,70,B,66.5
std-4925,male,group C,master's degree,0,0,48,82,46,B,67.75
std-4926,male,group E,master's degree,0,1,73,97,100,B,74.25
std-4927,male,group A,associate's degree,0,0,46,64,100,B,69.75
std-4928,male,group A,bachelor's degree,0,1,58,74,73,B,66.5
std-4929,male,group B,associate's degree,1,0,55,78,78,B,71
std-4930,male,group D,some high school,1,1,59,77,86,B,76.5
std-4931,male,group C,associate's degree,1,0,21,93,83,B,72
std-4932,male,group C,some high school,0,0,94,100,16,B,68
std-4933,male,group A,some high school,0,0,21,50,80,C,56
std-4934,male,group D,high school,1,1,76,34,84,B,66.75
std-4935,male,group C,some high school,1,0,69,69,80,B,67.75
std-4936,male,group A,high school,1,0,29,82,67,B,64.5
std-4937,male,group A,high school,0,1,45,38,37,D,46.75
std-4938,male,group D,some college,1,0,34,98,85,B,79.25
std-4939,male,group B,some college,1,0,12,49,92,B,63.25
std-4940,male,group B,some high school,0,0,80,50,48,C,61.25
std-4941,male,group B,associate's degree,1,0,78,41,84,B,65
std-4942,male,group D,bachelor's degree,1,1,52,76,63,B,65.5
std-4943,male,group B,associate's degree,1,0,29,73,84,B,71.5
std-4944,male,group E,high school,1,0,35,52,37,C,54
std-4945,male,group B,high school,0,1,77,62,44,B,70.75
std-4946,male,group C,associate's degree,0,1,49,78,73,B,68.25
std-4947,male,group E,associate's degree,0,0,35,60,28,D,47.75
std-4948,male,group B,associate's degree,1,1,19,100,73,B,67.75
std-4949,male,group D,master's degree,1,1,54,41,83,B,63.25
std-4950,male,group A,bachelor's degree,1,1,28,95,45,C,56.75
std-4951,male,group C,bachelor's degree,1,0,63,58,15,C,50
std-4952,male,group D,associate's degree,1,1,100,76,65,A,85.25
std-4953,male,group E,some high school,1,0,10,63,68,C,58.75
std-4954,male,group C,associate's degree,1,0,100,49,57,B,67.25
